date,description,debit,credit,account
2022-11-15,"FRUITICANA #25 VANCOUVER VANCOUVER, BC",35.85,,cc
2022-11-15,PAYMENT THANK YOU/PAIEMEN T MERCI,,297.17,cc
2022-11-14,"BUY LOW FOODS VANCOUVER, BC",23.77,,cc
2022-11-14,"COMPASS WEB 604-398-2042, BC",20.00,,cc
2022-11-14,"DHALIWAL SWEETS ABBOTSFOR SURREY, BC",17.85,,cc
2022-11-14,"DHALIWAL SWEETS ABBOTSFOR SURREY, BC",11.77,,cc
2022-11-14,"Kalais Curry Kitchen VANCOUVER, BC",26.50,,cc
2022-11-14,Point of Sale - Interac RETAIL PURCHASE 000061300706 SHAWARMA CAFE,17.21,,chk
2022-11-14,Internet Banking INTERNET TRANSFER 000000121586,297.17,,chk
2022-11-10,"STARBUCKS 04464 VANCOUVER, BC",6.53,,cc
2022-11-09,"BREKA BAKERY & CAFE VANCOUVER, BC",11.17,,cc
2022-11-09,"HOUSE OF DOSA VANCOUVER, BC",35.88,,cc
2022-11-07,"BUY LOW FOODS VANCOUVER, BC",29.03,,cc
2022-11-07,"NOFRILLS DEAN'S #3410 VANCOUVER, BC",23.10,,cc
2022-11-07,"TIM HORTONS #7387 VANCOUVER, BC",11.59,,cc
2022-11-07,PAYMENT THANK YOU/PAIEMEN T MERCI,,52.27,cc
2022-11-04,"MAIN STREET HONEY SHOP VANCOUVER, BC",48.99,,cc
2022-11-04,"SQ *TANDOORI OVEN RESTAUR Vancouver, BC",37.15,,cc
2022-11-04,"BC LIQUOR #160 VANCOUVER, BC",17.61,,cc
2022-11-04,Internet Banking INTERNET TRANSFER 000000121598,52.27,,chk
2022-11-02,"STARBUCKS 04464 VANCOUVER, BC",6.53,,cc
2022-11-02,"REXALL PHARMACY #7159 VANCOUVER, BC",16.22,,cc
2022-11-02,"FRUITICANA #25 VANCOUVER VANCOUVER, BC",14.76,,cc
2022-11-02,"DHALIWAL SWEETS ABBOTSFOR SURREY, BC",3.94,,cc
2022-11-01,"BUY LOW FOODS VANCOUVER, BC",5.99,,cc
2022-11-01,"BREKA BAKERY & CAFE VANCOUVER, BC",4.83,,cc
2022-11-01,PAYMENT THANK YOU/PAIEMEN T MERCI,,236.26,cc
2022-11-01,Internet Banking E-TRANSFER 010593925419 Raymond Kwong,800.00,,chk
2022-10-31,Branch Transaction INTEREST,,4.26,sav
2022-10-31,Branch Transaction SERVICE CHARGE DISCOUNT,,6.95,chk
2022-10-31,Branch Transaction SERVICE CHARGE ADD TXN$0.00;MONTHLY$6.95 RECORD-KEEPING N/A,6.95,,chk
2022-10-31,Internet Banking INTERNET TRANSFER 000000139079,236.26,,chk
2022-10-31,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/CA 230241883276,1734.99,,chk
